Dates ASML_Holding LVMH Lindle_PLC TOTALENERGIES SANOFI SAP L'OREAL SIEMENS ALLIANZ SCHNEIDER Deutsche_Telekom AIR_LIQUIDE IBERDROLA AIRBUS BNPP BAYER AXA VINCI Prosus Essilor Hermès Anheuser Mercedes Santander RICARD BASF ADYEN SAFRAN ENEL Münchener KERING ING Nordea Deutsche_Borse Danone Intesa Deutsche_Post Infineon Stellantis BBVA AHOLD ENI Volkswagen CRH Nokia Inditex BMW Adidas Flutter VONOVIA EUROSTOXX50
03/01/2022 795.739990 838.309998 346.420013 50.720001 50.680000 140.320007 425.250000 152.899994 208.050003 174.220001 16.382000 140.181824 10.380000 113.599998 61.110001 47.384998 26.389999 92.779999 73.339996 188.240005 1552.000000 62.430000 68.500000 3.310000 214.699997 61.900002 2290.000000 108.339996 7.070000 262.000000 709.000000 14.040000 111.379997 147.050003 54.919998 2.287500 56.580002 40.849998 19.430000 5.900000 30.415001 28.059999 178.000000 53.040001 6.320000 31.780001 88.910004 254.350006 11750.000000 49.279999 4303.939941
04/01/2022 793.630005 838.570007 338.959991 51.060001 49.630001 141.110001 429.399994 154.279999 210.449997 176.559998 16.590000 141.199997 10.500000 116.580002 61.680000 47.700001 26.700001 93.510002 73.889999 188.360001 1554.000000 63.340000 69.480003 3.420000 212.699997 62.830002 2360.000000 110.580002 7.232000 265.799988 713.000000 14.390000 112.680000 147.699997 55.430000 2.355000 56.279999 41.095001 19.900000 6.110000 30.719999 28.530001 181.839996 54.049999 6.300000 32.230000 91.889999 259.750000 11645.000000 49.389999 4346.450195
05/01/2022 765.909973 848.500000 347.690002 52.209999 50.119999 141.639999 430.600006 154.919998 217.000000 176.020004 16.510000 142.945450 10.380000 119.320000 63.509998 48.560001 27.120001 94.790001 72.160004 190.500000 1560.000000 63.340000 72.400002 3.460000 215.100006 65.870003 2259.000000 111.040001 7.131000 269.399994 715.599976 14.560000 114.000000 146.699997 56.680000 2.399500 57.189999 39.950001 20.770000 6.130000 30.594999 28.809999 187.279999 54.119999 6.260000 32.849998 94.500000 260.000000 11630.000000 49.310001 4368.779785
06/01/2022 739.530029 831.099976 344.679993 52.410000 50.250000 137.259995 421.000000 154.919998 216.350006 174.039993 16.320000 144.000000 10.225000 118.199997 62.980000 48.299999 26.764999 93.459999 71.610001 189.759995 1545.000000 62.360001 73.930000 3.490000 213.199997 65.209999 2189.500000 109.879997 7.050000 270.049988 723.299988 14.590000 112.959999 145.399994 56.099998 2.393500 56.660000 39.535000 20.830000 6.130000 30.650000 28.879999 187.300003 53.430000 6.090000 32.200001 94.699997 257.149994 11330.000000 48.549999 4372.450195
07/01/2022 758.390015 822.890015 338.019989 52.549999 50.180000 137.070007 411.649994 153.759995 220.750000 171.300003 16.372000 142.018188 10.210000 118.000000 64.000000 48.255001 27.305000 94.209999 70.930000 182.000000 1503.500000 62.000000 75.040001 3.510000 207.899994 65.680000 2200.500000 111.680000 6.949000 270.000000 716.200012 14.660000 113.680000 147.149994 56.450001 2.443000 56.119999 40.294998 20.440001 6.210000 30.605000 28.900000 189.720001 52.869999 6.150000 32.000000 96.000000 252.500000 11285.000000 48.380001 4331.069824
10/01/2022 716.520020 800.000000 333.420013 53.090000 50.220001 137.110001 410.399994 152.199997 223.000000 168.600006 16.252001 143.018188 10.145000 118.000000 64.699997 48.965000 27.480000 94.260002 71.889999 179.119995 1446.000000 63.950001 74.089996 3.590000 204.100006 66.480003 2170.000000 112.000000 6.959000 269.799988 734.799988 14.920000 112.599998 145.000000 56.400002 2.469000 55.790001 40.634998 20.480000 6.330000 30.665001 28.860001 189.000000 52.580002 6.080000 32.349998 98.489998 246.149994 11550.000000 47.290001 4312.129883
11/01/2022 706.989990 796.000000 334.190002 53.549999 50.919998 137.740005 395.100006 148.940002 224.850006 162.139999 15.648000 142.727264 9.990000 118.599998 64.260002 50.279999 27.540001 94.489998 72.070000 177.000000 1403.500000 64.099998 73.540001 3.540000 204.300003 66.620003 2028.500000 113.019997 6.940000 273.000000 704.200012 14.860000 113.260002 147.350006 56.869999 2.475000 53.849998 39.450001 20.389999 6.350000 30.594999 28.940001 189.000000 53.040001 6.140000 32.750000 97.989998 249.350006 11475.000000 46.990002 4251.799805
12/01/2022 739.309998 814.200012 338.309998 55.770000 51.400002 139.869995 398.750000 151.160004 226.050003 166.339996 15.990000 143.527267 10.050000 118.720001 64.849998 51.810001 27.844999 95.889999 76.680000 177.419998 1392.500000 64.080002 73.400002 3.570000 202.300003 67.000000 2046.500000 111.019997 6.950000 272.200012 718.000000 15.230000 115.260002 149.300003 57.090000 2.499500 54.360001 39.799999 20.860001 6.460000 31.090000 29.660000 189.899994 53.560001 6.190000 32.500000 98.599998 257.000000 11410.000000 47.250000 4306.250000
13/01/2022 772.409973 806.710022 338.279999 55.849998 51.009998 139.029999 398.299988 151.460007 225.850006 168.500000 16.000000 143.836365 9.970000 118.000000 65.250000 50.939999 27.870001 96.349998 77.220001 174.259995 1372.000000 66.220001 73.209999 3.610000 199.500000 66.900002 2025.000000 109.720001 6.910000 274.899994 708.900024 15.390000 116.360001 151.000000 56.720001 2.535000 54.750000 39.200001 21.590000 6.550000 31.045000 29.900000 187.800003 53.939999 6.010000 30.920000 97.379997 252.149994 11390.000000 47.560001 4319.259766
14/01/2022 735.599976 781.880005 329.149994 56.240002 51.540001 136.559998 381.500000 150.600006 225.300003 165.080002 15.900000 142.090912 9.950000 116.279999 66.349998 50.750000 28.010000 97.139999 76.779999 171.960007 1312.000000 67.690002 74.720001 3.590000 196.199997 67.279999 1867.599976 111.760002 6.890000 274.799988 676.299988 15.350000 115.940002 153.850006 57.430000 2.542000 54.310001 39.639999 21.389999 6.550000 30.809999 29.830000 190.639999 53.840000 5.870000 32.680000 98.830002 253.000000 11350.000000 48.099998 4307.479980
