,AC.PA,ALO.PA,ATO.PA,ACA.PA,BN.PA,DSY.PA,EDEN.PA,EDF.PA,ENGI.PA,ERF.PA,RMS.PA,KER.PA,LI.PA,OR.PA,MC.PA,ML.PA,ORA.PA,RI.PA,PUB.PA,RNO.PA,SAF.PA,SGO.PA,SAN.PA,SU.PA,GLE.PA,TEP.PA,HO.PA,TTE.PA,URW.PA,DG.PA,VIV.PA,WLN.PA
31/12/2014,231499860,309700530,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,199470340,560060610,507692870,185558140,2648885500,265421600,221148510,295722290,417029570,561887570,1319655640,584528930,805199160,57201690,207601330,2384563230,98041390,590003360,1348520870,131926590
02/01/2015,231499860,309700530,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,199470340,560060610,507692870,185558140,2648885500,265421600,221148510,295722290,417029570,561887570,1319655640,584528930,805199160,57201690,207601330,2384563230,98041390,590003360,1348520870,131926590
05/01/2015,231499860,309700530,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,199470340,560060610,507692870,185558140,2648885500,265421600,221148510,295722290,417029570,561887570,1319655640,584528930,805199160,57201690,207601330,2384563230,98041390,590003360,1348520870,131926590
06/01/2015,231499860,309700530,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,199470340,560060610,507692870,185558140,2648885500,265421600,221148510,295722290,417029570,561887570,1319655640,584528930,805199160,57201690,207601330,2384563230,98041390,590003360,1348520870,131926590
07/01/2015,231499860,309700530,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,199470340,560060610,507692870,185558140,2648885500,265421600,221148510,295722290,417029570,561887570,1319655640,584528930,805199160,57201690,207601330,2384563230,98041390,590003360,1348520870,131926590
08/01/2015,231499860,309700530,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,199470340,560060610,507692870,185558140,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805200560,57201690,207601330,2384563230,98058350,590098630,1348520870,131926590
09/01/2015,231836400,309700530,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,199470340,560060610,507692870,185558140,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805200560,57201690,207601330,2384563230,98058350,590098630,1348520870,131926590
12/01/2015,231836400,309700530,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,199470340,560060610,507692870,185558140,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805200560,57201690,207601330,2384563230,98058350,590098630,1348520870,131926590
13/01/2015,231836400,309708070,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,199470340,560060610,507692870,185558140,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590098630,1348520870,131926590
14/01/2015,231836400,309708070,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,296060000,560060610,507692870,185558140,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590098630,1348520870,131926590
15/01/2015,231836400,309708070,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,296060000,560060610,507692870,185558140,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590098630,1348520870,131926590
16/01/2015,231836400,309708070,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,296060000,560060610,507692870,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590098630,1348520870,131926590
19/01/2015,231836400,309708070,101001130,2576365720,643791990,256339200,228811540,1860008420,2435284910,15073310,105569410,126251620,296060000,560060610,507692870,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590098630,1348520870,131926590
20/01/2015,231836400,309708070,101001130,2576365720,643791990,256339200,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,560060610,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590098630,1348520870,131926590
21/01/2015,231836400,309708070,101001130,2576365720,643791990,256339200,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,560060610,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590098630,1351600590,131926590
22/01/2015,231836400,309708070,101001130,2576365720,643791990,256339200,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,560060610,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590098630,1351600590,131926590
23/01/2015,231836400,309708070,101001130,2576365720,643791990,256339200,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,560060610,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590469360,1351600590,131926590
26/01/2015,231836400,309708070,101001130,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,560060610,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590469360,1351600590,131926590
27/01/2015,231836400,309708070,101001130,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,560060610,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590469360,1351600590,131926590
28/01/2015,231836400,309708070,101332530,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,560060610,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590580380,1351600590,131926590
29/01/2015,231836400,309708070,101332530,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,560060610,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590580380,1351600590,131926590
30/01/2015,231836400,309708070,101332530,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,560060610,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590580380,1351600590,131926590
02/02/2015,231836400,309708070,101332530,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,560060610,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590580380,1351600590,131926590
03/02/2015,231836400,309708070,101332530,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,560060610,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590580380,1351600590,131926590
04/02/2015,231836400,309701840,101332530,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,561230410,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590580380,1351600590,131926590
05/02/2015,231836400,309701840,101332530,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,561230410,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98058350,590580380,1351600590,131926590
06/02/2015,231836400,309701840,101332530,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,561230410,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98067680,590580380,1351600590,131926590
09/02/2015,231836400,309701840,101332530,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,561230410,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98067680,590580380,1351600590,131926590
10/02/2015,231836400,309701840,101332530,2576365720,643791990,256364070,228864520,1860008420,2435284910,15073310,105569410,126251620,307036900,561230410,507711700,185726200,2648885500,265421600,221148510,295722290,417029570,561895570,1319655640,584528930,805207640,57201690,207601330,2384563230,98067680,590580380,1351600590,131926590
11/02/2015,231836400,309726500,101332530,2576365720,643791990,256469600,229216960,1860008420,2435284910,15216970,105569410,126251620,307036900,561230410,507743410,185726200,2648885500,265421600,221148510,295722290,417029570,561900210,1319655640,584716370,805208620,57201690,208083440,2385269530,98067680,590620480,1351600590,131926590
